Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Non Taxable,NSW,2037,"2,226","2,125","23,737,195",491,"593,934",15,"21,476",2,"4,573",0,0,0,0,2,"11,221","1,232","13,419,938","1,056","1,650,845",163,"391,745",4,"16,628",9,"18,136",241,"1,878,606",138,"1,851,485",13,"108,054",23,"274,431","1,296","1,664,211",174,"116,769",439,"1,180,213",437,"503,791","2,135","26,041,656"
Non Taxable,NSW,2038,"1,017",983,"10,806,197",218,"229,914",1,"1,434",0,0,0,0,0,0,0,0,522,"5,625,862",443,"630,313",76,"195,313",2,"8,838",2,"1,990",92,"644,257",84,"992,626",8,"123,918",8,"130,801",630,"919,967",96,"122,058",268,"554,693",266,"237,143",994,"11,815,799"
Non Taxable,NSW,2039,"1,036",985,"10,885,728",239,"229,228",4,"3,150",0,0,0,0,0,0,0,0,441,"4,736,896",375,"540,706",71,"390,977",5,"17,135",3,"15,007",61,"459,793",96,"1,156,503",5,"35,612",14,"251,606",638,"1,216,164",102,"35,959",288,"663,208",288,"283,474",998,"12,223,412"
Non Taxable,NSW,2040,"2,250","2,166","25,739,763",581,"505,934",5,"2,430",0,0,0,0,0,0,1,"4,186","1,172","13,182,001","1,036","1,548,638",193,"716,020",5,"41,087",8,"18,723",252,"1,926,932",213,"2,811,949",7,"70,761",23,"319,191","1,318","1,720,412",169,"78,174",523,"952,154",525,"404,352","2,178","27,578,473"
Non Taxable,NSW,2041,"1,998","1,892","19,289,179",487,"574,150",9,"13,468",0,0,0,0,0,0,0,0,774,"8,909,433",640,"1,202,632",133,"1,082,551",6,"21,402",9,"17,396",133,"1,106,931",143,"1,705,465",6,"87,930",40,"596,667","1,277","2,619,753",232,"146,873",638,"1,894,593",637,"810,038","1,919","22,945,386"
Non Taxable,NSW,2042,"2,256","2,159","25,340,738",481,"456,730",13,"10,318",0,0,0,0,0,0,0,0,"1,354","13,984,920","1,184","1,646,402",171,"683,731",8,"33,100",5,"7,578",359,"2,896,615",124,"1,644,693",10,"82,431",8,"143,096","1,239","1,271,944",113,"51,768",344,"742,686",344,"313,399","2,169","27,358,471"
Non Taxable,NSW,2043,762,724,"8,078,173",145,"175,141",7,"5,101",0,0,0,0,0,0,0,0,438,"4,623,482",385,"574,838",54,"168,105",2,"2,566",0,0,64,"516,242",32,"435,503",2,"12,390",12,"121,937",442,"533,092",34,"8,530",116,"144,931",116,"62,044",728,"8,665,875"
Non Taxable,NSW,2044,871,847,"9,828,874",215,"151,008",2,"2,211",0,0,0,0,0,0,0,0,508,"5,860,368",438,"661,227",70,"207,365",1,"2,315",4,"6,128",123,"845,812",72,"1,074,866",3,"24,937",3,"35,922",445,"419,784",44,"14,326",153,"251,310",153,"107,740",852,"10,446,196"
Non Taxable,NSW,2045,863,824,"9,702,355",231,"206,394",0,0,0,0,0,0,0,0,1,"54,202",380,"4,531,414",317,"440,785",70,"273,028",0,0,4,"10,863",54,"341,173",81,"992,373",2,"11,378",7,"119,916",544,"1,429,598",91,"21,296",292,"590,690",291,"249,219",836,"11,159,249"
Non Taxable,NSW,2046,"3,321","3,207","38,661,827",915,"859,535",7,"10,074",0,0,0,0,0,0,1,"2,284","1,420","17,217,239","1,189","1,957,884",277,"1,290,955",12,"41,602",12,"25,610",219,"1,605,667",433,"5,431,222",15,"152,161",47,"683,500","2,124","4,245,636",313,"69,152","1,038","2,032,303","1,036","866,215","3,232","41,559,030"
Non Taxable,NSW,2047,"1,508","1,435","16,107,430",373,"369,647",6,"5,152",0,0,0,0,0,0,0,0,597,"6,914,362",498,"747,025",115,"459,994",4,"26,344",5,"11,762",63,"482,222",150,"1,753,004",11,"61,033",24,"294,502","1,010","2,192,802",201,"103,559",547,"1,674,322",548,"708,386","1,454","18,159,703"
Non Taxable,NSW,2048,883,859,"10,423,215",210,"304,910",1,"8,675",0,0,0,0,0,0,1,"8,661",491,"5,859,543",440,"641,664",60,"160,849",1,"2,857",0,0,124,"937,963",81,"1,030,714",3,"2,927",3,"47,989",512,"805,766",94,"42,566",208,"415,579",207,"177,720",862,"11,237,771"
Non Taxable,NSW,2049,"1,375","1,331","16,200,749",355,"296,007",4,"1,536",0,0,0,0,0,0,0,0,808,"8,804,170",691,"978,610",110,"223,801",7,"24,760",7,"14,259",192,"1,519,131",106,"1,469,280",2,"13,533",7,"123,589",807,"1,032,446",80,"21,786",294,"504,253",293,"216,460","1,336","17,524,740"
Non Taxable,NSW,2050,"1,000",952,"8,951,518",184,"139,039",5,"4,447",0,0,0,0,0,0,2,"8,968",642,"6,719,356",560,"777,756",66,"148,073",2,"4,933",4,"4,471",126,"983,415",44,"497,663",3,"19,388",5,"56,907",557,"532,952",44,"11,923",128,"188,322",128,"79,880",959,"9,526,156"
Non Taxable,NSW,2052,90,90,"639,296",4,754,0,0,0,0,0,0,0,0,0,0,74,"539,071",67,"63,602",10,"14,170",0,0,0,0,12,"53,941",0,0,0,0,0,0,53,"17,941",1,18,2,767,2,328,90,"640,117"
Non Taxable,NSW,2057,55,52,"390,279",10,"6,782",0,0,0,0,0,0,0,0,0,0,13,"203,238",11,"28,004",3,"25,008",1,"1,071",1,763,1,"12,533",3,"58,990",1,"15,374",1,75,29,"68,181",6,"7,994",22,"38,580",22,"16,535",52,"468,365"
Non Taxable,NSW,2059,38,37,"309,521",12,"6,749",0,0,0,0,0,0,0,0,0,0,9,"105,536",6,"5,473",2,"1,989",0,0,0,0,1,"12,676",2,"39,671",0,0,0,0,20,"7,237",6,"1,398",20,"46,885",20,"19,255",37,"335,286"
Non Taxable,NSW,2060,"1,985","1,858","20,282,785",449,"851,897",12,"25,178",0,0,0,0,0,0,0,0,856,"9,730,274",721,"1,330,255",138,"493,237",6,"49,397",7,"7,630",87,"712,234",151,"1,959,526",10,"123,751",28,"319,509","1,230","2,650,651",224,"143,798",591,"1,721,973",590,"732,590","1,887","24,083,366"
Non Taxable,NSW,2061,826,766,"7,230,613",180,"137,208",2,169,1,147,0,0,0,0,0,0,294,"3,576,953",247,"515,487",52,"319,577",1,284,3,"8,903",39,"317,384",45,"607,588",5,"45,711",3,"50,093",544,"1,424,847",118,"150,441",255,"1,150,286",257,"494,479",780,"9,657,443"
Non Taxable,NSW,2062,849,816,"9,780,046",210,"264,643",1,"3,710",0,0,0,0,0,0,0,0,344,"3,903,177",280,"407,980",64,"272,295",2,"1,349",0,0,49,"351,096",76,"974,745",4,"57,686",20,"372,786",576,"1,279,053",112,"52,297",289,"829,839",288,"352,856",825,"10,656,377"
Non Taxable,NSW,2063,895,861,"10,587,585",230,"487,804",8,"15,774",0,0,0,0,0,0,0,0,316,"3,529,139",245,"436,932",61,"301,949",0,0,0,0,30,"168,839",53,"650,340",3,"33,458",9,"121,694",617,"1,667,019",129,"64,719",336,"1,165,192",335,"494,019",874,"12,309,825"
Non Taxable,NSW,2064,"1,357","1,301","14,210,830",289,"259,263",3,"3,724",0,0,0,0,0,0,2,"5,446",661,"7,288,396",542,"788,421",85,"309,387",2,"11,722",4,"16,093",101,"749,365",96,"1,306,700",4,"27,952",7,"108,561",834,"1,441,806",148,"73,422",359,"924,597",359,"394,228","1,305","14,839,585"
Non Taxable,NSW,2065,"3,625","3,437","38,348,694",840,"865,948",21,"18,361",2,545,0,0,0,0,0,0,"1,606","18,183,428","1,321","2,031,191",249,"1,024,178",14,"38,340",8,"4,921",182,"1,296,371",264,"3,128,571",11,"61,607",38,"507,495","2,273","4,361,799",466,"332,468","1,133","3,349,199","1,130","1,426,995","3,464","41,806,408"
Non Taxable,NSW,2066,"4,049","3,849","43,252,640",939,"1,153,709",11,"20,482",0,0,0,0,0,0,1,"6,628","1,768","21,486,708","1,463","2,466,301",290,"1,505,276",8,"29,041",9,"10,833",215,"1,421,690",377,"4,591,193",11,"106,146",52,"734,928","2,545","4,698,029",532,"248,241","1,307","4,112,241","1,305","1,750,845","3,882","50,009,245"
Non Taxable,NSW,2067,"4,768","4,454","44,674,871","1,019","964,221",16,"23,711",2,"3,216",0,0,0,0,2,"2,982","2,072","24,942,239","1,678","2,762,300",264,"1,439,960",15,"178,225",15,"103,739",219,"1,548,011",314,"3,912,094",7,"64,575",53,"730,833","2,945","6,084,089",392,"164,237","1,028","2,697,853","1,028","1,145,586","4,485","49,220,259"
Non Taxable,NSW,2068,"2,305","2,193","23,708,571",537,"527,891",8,"8,398",0,0,0,0,0,0,0,0,942,"10,900,805",762,"1,194,161",162,"723,435",4,"24,601",9,"19,713",122,"859,678",205,"2,357,215",10,"83,682",32,"445,444","1,533","3,262,142",276,"153,301",754,"1,958,164",754,"829,140","2,212","26,502,764"
Non Taxable,NSW,2069,"2,254","2,156","23,492,684",521,"835,576",11,"25,697",0,0,0,0,0,0,3,"10,306",890,"9,713,049",702,"930,805",159,"787,975",3,"10,570",5,"5,310",106,"685,953",180,"2,010,638",7,"58,947",29,"300,971","1,553","2,965,981",340,"237,873",791,"2,828,319",789,"1,204,677","2,173","26,769,680"
Non Taxable,NSW,2070,"2,240","2,135","22,146,579",508,"616,602",10,"15,442",1,"2,147",0,0,0,0,1,"14,169",894,"9,937,847",700,"946,212",165,"863,966",4,"17,843",4,"2,557",93,"603,343",159,"2,021,219",9,"78,196",31,"424,559","1,503","3,019,816",260,"146,437",719,"2,161,357",718,"916,197","2,143","25,829,609"
Non Taxable,NSW,2071,"2,365","2,223","23,088,111",536,"557,410",13,"14,126",0,0,0,0,0,0,1,"4,928",886,"10,015,627",691,"1,054,642",161,"849,123",7,"42,589",7,"22,345",100,"678,796",152,"1,771,420",6,"73,934",21,"248,132","1,612","3,517,030",309,"276,586",779,"2,658,381",778,"1,132,478","2,253","27,247,204"
Non Taxable,NSW,2072,"1,552","1,455","14,956,275",334,"277,848",4,"1,440",0,0,0,0,0,0,0,0,613,"11,242,457",473,"2,806,642",112,"620,346",3,"4,057",4,"5,603",106,"623,105",108,"1,266,442",3,"12,829",15,"134,639","1,042","2,407,101",196,"102,826",477,"1,296,816",476,"552,659","1,477","21,208,311"
Non Taxable,NSW,2073,"2,643","2,517","26,134,100",545,"620,677",9,"11,934",0,0,0,0,0,0,1,"8,322","1,134","12,497,082",863,"1,203,574",197,"692,835",5,"6,435",4,"4,545",131,"890,701",167,"1,833,035",12,"56,707",30,"476,855","1,741","3,500,006",387,"248,239",912,"2,922,246",910,"1,242,081","2,544","29,229,601"
Non Taxable,NSW,2074,"3,816","3,663","45,634,011","1,006","2,087,429",24,"63,713",1,928,0,0,0,0,1,"2,386","1,385","15,695,930","1,095","1,690,883",252,"974,999",4,"5,731",6,"14,474",158,"1,143,857",467,"5,184,548",15,"206,471",86,"1,051,950","2,620","5,581,124",660,"354,507","1,624","5,651,825","1,622","2,411,573","3,693","50,718,337"
Non Taxable,NSW,2075,"3,619","3,447","39,475,130",869,"1,197,852",19,"31,137",1,"3,210",0,0,0,0,2,"11,287","1,280","15,074,297","1,005","1,523,626",247,"1,176,835",7,"56,589",9,"17,127",126,"878,596",408,"4,748,730",8,"72,781",54,"527,352","2,479","5,667,662",543,"307,375","1,366","4,215,990","1,364","1,784,239","3,472","44,176,799"
Non Taxable,NSW,2076,"3,939","3,778","40,560,038",926,"955,579",14,"13,307",0,0,0,0,0,0,0,0,"1,525","17,577,690","1,207","1,835,821",305,"1,113,404",7,"37,182",10,"35,155",194,"1,339,731",416,"4,608,865",16,"146,073",74,"878,108","2,644","5,468,665",581,"265,943","1,505","4,732,040","1,505","2,016,336","3,805","45,778,004"
Non Taxable,NSW,2077,"6,131","5,868","63,760,448","1,266","1,126,735",12,"14,524",0,0,0,0,0,0,2,"5,276","2,974","33,072,031","2,440","3,333,380",514,"1,250,441",19,"43,465",21,"38,036",494,"3,746,596",605,"7,227,527",23,"191,195",65,"887,609","3,647","5,148,308",557,"158,074","1,525","3,184,020","1,522","1,355,947","5,885","66,680,787"
Non Taxable,NSW,2079,"1,045","1,010","10,916,095",206,"157,890",4,"1,587",0,0,0,0,0,0,0,0,500,"5,601,647",402,"546,480",93,"158,409",7,"21,588",4,"5,460",69,"499,196",117,"1,346,118",4,"58,574",10,"170,922",631,"844,458",132,"46,906",359,"696,731",355,"296,612","1,013","11,656,748"
Non Taxable,NSW,2080,288,281,"3,216,802",63,"52,274",0,0,0,0,0,0,0,0,0,0,127,"1,260,254",102,"118,945",24,"46,941",0,0,0,0,25,"176,988",49,"473,455",3,"21,863",5,"46,764",184,"294,301",38,"14,437",107,"196,555",107,"81,816",281,"3,358,671"
Non Taxable,NSW,2081,791,769,"8,520,789",178,"128,431",2,773,0,0,0,0,0,0,0,0,386,"4,373,498",322,"394,058",80,"124,919",3,"4,573",6,"18,546",39,"301,244",95,"1,028,319",2,"17,753",13,"175,881",487,"557,106",95,"33,960",267,"496,121",266,"212,752",772,"9,046,375"
Non Taxable,NSW,2082,811,794,"9,342,358",193,"174,707",3,"1,799",0,0,0,0,0,0,0,0,385,"4,302,310",321,"385,787",72,"91,704",2,"8,944",4,"9,892",42,"353,715",131,"1,485,674",6,"55,976",14,"298,935",508,"650,879",113,"17,856",306,"559,517",305,"238,121",800,"9,711,809"
Non Taxable,NSW,2083,273,260,"3,086,022",60,"67,777",0,0,0,0,0,0,0,0,0,0,106,"1,252,428",82,"136,044",22,"74,213",1,"1,036",0,0,15,"138,697",34,"442,375",3,"16,858",3,"20,343",156,"283,182",31,"9,453",104,"214,119",103,"89,760",263,"3,455,850"
Non Taxable,NSW,2084,602,580,"6,507,097",129,"105,598",1,160,0,0,0,0,0,0,0,0,238,"2,813,899",199,"240,234",44,"217,492",0,0,0,0,19,"139,011",57,"703,543",0,0,5,"71,520",404,"1,035,271",85,"34,108",238,"538,770",238,"229,832",583,"7,136,167"
Non Taxable,NSW,2085,"1,985","1,933","22,442,611",483,"503,503",6,"6,347",0,0,0,0,0,0,0,0,781,"8,563,425",615,"743,507",155,"352,769",3,"5,846",3,"14,203",62,"446,621",315,"3,498,710",5,"20,830",41,"432,036","1,317","2,606,935",332,"162,715",851,"2,057,019",849,"877,829","1,947","24,542,315"
Non Taxable,NSW,2086,"1,987","1,908","22,594,694",493,"445,734",8,"5,222",0,0,0,0,0,0,0,0,891,"10,443,643",711,"1,010,889",185,"528,568",4,"16,084",8,"16,010",83,"528,906",271,"3,213,031",2,"13,025",32,"417,047","1,212","1,866,416",265,"103,171",733,"1,606,461",731,"684,476","1,919","24,338,610"
Non Taxable,NSW,2087,"2,028","1,957","22,778,805",491,"545,577",5,"4,333",0,0,0,0,0,0,0,0,801,"8,381,039",619,"720,770",163,"575,524",4,"20,078",7,"4,805",96,"624,280",264,"3,354,204",8,"37,876",36,"506,668","1,318","2,696,355",297,"103,070",778,"1,993,586",777,"850,361","1,969","24,128,179"
Non Taxable,NSW,2088,"4,099","3,851","65,226,427",976,"12,216,400",37,"510,496",0,0,0,0,0,0,1,"4,188","1,473","17,904,748","1,186","2,129,115",273,"1,459,975",6,"36,159",9,"41,064",167,"1,058,457",314,"3,850,482",19,"215,049",70,"1,264,081","2,769","7,304,746",554,"330,905","1,404","5,337,001","1,401","2,267,725","3,918","78,185,025"
Non Taxable,NSW,2089,"1,510","1,421","15,394,167",373,"397,243",13,"9,205",0,0,0,0,0,0,1,"4,806",635,"7,817,941",517,"1,026,404",116,"658,191",3,"20,654",5,"20,434",79,"571,839",148,"2,027,286",3,"14,014",25,"349,432",988,"2,313,389",195,"232,044",447,"1,594,259",448,"678,915","1,440","19,265,791"
Non Taxable,NSW,2090,"1,737","1,641","17,051,378",462,"564,809",8,"6,825",0,0,0,0,0,0,2,"9,071",656,"8,951,912",529,"1,215,062",142,"817,855",3,"13,645",4,"8,357",73,"567,882",180,"2,287,203",8,"76,696",29,"391,193","1,164","2,722,978",227,"173,230",601,"2,154,271",601,"915,423","1,659","21,764,990"
Non Taxable,NSW,2092,965,911,"7,548,156",221,"206,744",7,"4,137",0,0,0,0,0,0,0,0,410,"4,990,571",346,"542,785",81,"300,857",1,647,1,"4,023",39,"255,442",84,"908,619",5,"18,364",10,"120,188",639,"1,065,798",127,"62,737",305,"747,955",305,"320,035",937,"9,192,181"
Non Taxable,NSW,2093,"3,080","2,954","34,907,049",758,"840,683",11,"9,783",0,0,0,0,0,0,0,0,"1,410","15,752,249","1,167","1,699,647",273,"926,510",2,"5,009",4,"36,409",157,"1,057,707",311,"3,504,233",15,"112,039",48,"740,083","1,916","3,869,202",369,"166,700","1,014","2,713,524","1,013","1,154,508","2,989","38,749,066"
Non Taxable,NSW,2094,794,763,"9,090,900",192,"267,135",11,"11,156",0,0,0,0,0,0,0,0,357,"4,327,696",294,"487,181",46,"111,459",1,"14,101",1,"6,555",41,"261,426",79,"851,523",7,"38,009",14,"143,478",514,"1,086,730",107,"31,900",276,"797,305",275,"341,190",772,"11,130,641"
Non Taxable,NSW,2095,"2,149","2,032","23,035,293",513,"767,495",11,"20,209",0,0,0,0,0,0,2,"4,877",986,"11,004,291",853,"1,294,540",170,"1,020,232",5,"21,074",6,"20,273",98,"748,641",147,"1,687,144",8,"57,790",26,"360,167","1,283","2,373,612",229,"204,315",610,"1,838,315",612,"782,846","2,058","25,929,220"
Non Taxable,NSW,2096,"1,839","1,771","21,576,373",484,"947,934",7,"26,686",0,0,0,0,0,0,0,0,882,"9,845,523",751,"1,052,798",133,"344,684",8,"41,490",7,"12,296",77,"538,079",160,"2,036,685",12,"67,822",29,"426,827","1,152","1,909,074",210,"71,268",577,"1,478,802",576,"629,558","1,782","23,379,708"
Non Taxable,NSW,2097,"2,190","2,113","25,289,875",581,"542,739",8,"6,171",0,0,0,0,0,0,1,"2,866","1,042","11,839,313",874,"1,081,128",215,"714,542",4,"9,925",7,"8,141",108,"686,316",245,"2,958,171",8,"68,359",30,"315,643","1,350","2,403,358",218,"71,535",677,"1,463,627",676,"623,305","2,135","27,150,100"
Non Taxable,NSW,2098,12,11,"166,009",6,"3,438",0,0,0,0,0,0,0,0,0,0,5,"52,538",5,"4,871",1,"1,450",0,0,0,0,0,0,3,"43,865",0,0,0,0,8,"13,791",2,137,6,"10,946",6,"4,689",12,"201,978"
Non Taxable,NSW,2099,"5,706","5,507","66,492,127","1,480","1,122,639",11,"5,474",0,0,0,0,0,0,1,"2,935","2,859","32,895,195","2,458","3,320,409",528,"1,377,507",10,"53,711",21,"48,222",360,"2,557,430",705,"8,661,280",22,"207,692",81,"933,594","3,307","5,567,628",507,"299,597","1,540","3,338,032","1,538","1,419,483","5,529","71,092,873"
Non Taxable,NSW,2100,"3,021","2,932","36,202,757",807,"754,845",8,"7,337",0,0,0,0,0,0,0,0,"1,437","16,734,564","1,190","1,571,187",263,"584,336",9,"36,891",11,"26,587",173,"1,168,409",398,"4,583,952",7,"56,347",50,"601,377","1,809","2,832,680",336,"100,897",977,"1,870,791",976,"795,935","2,939","38,531,394"
Non Taxable,NSW,2101,"2,804","2,719","35,155,393",782,"1,057,118",8,"19,657",0,0,0,0,0,0,1,"2,440","1,156","13,483,618",971,"1,362,077",256,"852,674",7,"10,848",7,"16,648",142,"1,120,889",456,"5,161,112",7,"79,680",67,"715,519","1,776","3,510,958",353,"155,093","1,008","2,776,395","1,006","1,180,626","2,732","37,813,803"
Non Taxable,NSW,2102,"1,052","1,010","11,659,806",250,"225,951",3,"3,116",0,0,0,0,0,0,0,0,490,"5,435,919",403,"466,292",85,"333,359",3,"4,804",4,"2,889",50,"283,297",120,"1,291,664",1,"6,851",16,"169,883",597,"984,831",113,"26,240",339,"755,630",339,"321,614","1,016","12,281,813"
Non Taxable,NSW,2103,"1,754","1,701","20,945,146",458,"400,873",6,"2,465",0,0,0,0,0,0,0,0,699,"8,115,516",569,"722,598",127,"227,391",2,"7,477",2,"4,921",61,"381,337",251,"2,810,230",6,"16,643",34,"342,800","1,167","2,896,900",254,"83,423",694,"1,656,490",691,"708,300","1,709","23,254,694"
Non Taxable,NSW,2104,652,635,"8,317,168",203,"254,271",5,"5,988",0,0,0,0,0,0,0,0,210,"2,339,834",160,"250,196",59,"400,331",1,"28,278",2,"4,716",22,"150,914",89,"1,059,191",4,"51,347",10,"76,709",450,"1,162,055",114,"111,189",289,"989,387",287,"420,772",641,"9,283,020"
Non Taxable,NSW,2105,360,343,"4,362,170",102,"254,640",4,"10,280",1,"1,645",0,0,0,0,0,0,137,"1,702,152",96,"167,072",33,"224,221",1,"4,232",0,0,14,"99,346",32,"362,467",1,"4,970",2,"12,562",232,"510,404",42,"62,429",118,"357,943",117,"152,804",346,"4,796,429"
Non Taxable,NSW,2106,"1,569","1,518","18,550,706",391,"446,913",8,"9,639",0,0,0,0,0,0,0,0,691,"7,971,376",565,"744,470",154,"812,888",4,"9,495",4,"13,269",70,"437,404",175,"1,941,173",12,"63,079",15,"171,733","1,003","2,116,333",163,"65,997",523,"1,482,565",522,"627,849","1,540","21,151,578"
Non Taxable,NSW,2107,"2,600","2,496","29,718,841",666,"901,682",15,"17,407",1,"1,924",0,0,0,0,0,0,"1,067","12,156,520",858,"1,186,096",226,"931,376",4,"18,517",4,"35,991",89,"591,607",298,"3,250,264",16,"152,009",36,"417,836","1,748","3,397,303",346,"153,569",958,"3,070,465",954,"1,290,534","2,533","35,226,475"
Non Taxable,NSW,2108,345,323,"2,784,131",90,"80,848",0,0,0,0,0,0,0,0,0,0,103,"1,139,605",79,"134,366",30,"362,790",0,0,1,436,6,"48,004",22,"280,346",1,"16,708",1,937,228,"686,447",55,"36,643",148,"451,371",148,"192,996",328,"3,420,838"
Non Taxable,NSW,2110,"1,322","1,266","13,313,453",315,"268,194",0,0,0,0,0,0,0,0,0,0,516,"6,263,531",413,"622,064",114,"646,666",1,"15,222",4,"12,048",56,"412,468",127,"1,525,551",8,"76,786",20,"204,320",898,"2,331,421",171,"77,478",451,"1,516,612",451,"647,626","1,278","16,719,818"
Non Taxable,NSW,2111,"1,931","1,855","21,855,232",504,"488,729",6,"6,377",1,855,0,0,0,0,0,0,834,"10,019,874",685,"968,774",146,"555,252",10,"49,053",3,"9,034",122,"884,281",200,"2,631,579",5,"40,957",28,"389,402","1,219","2,348,722",214,"102,883",649,"1,356,619",648,"574,932","1,863","23,225,619"
Non Taxable,NSW,2112,"5,213","4,971","54,550,794","1,137","905,944",8,"8,097",0,0,0,0,0,0,2,"3,312","2,554","29,570,545","2,121","3,140,801",444,"1,526,836",11,"38,824",24,"55,915",403,"2,885,955",469,"5,981,679",21,"147,954",53,"717,242","3,119","4,311,434",466,"172,311","1,333","2,816,271","1,329","1,198,835","5,004","59,092,898"
Non Taxable,NSW,2113,"3,391","3,227","34,861,600",734,"655,962",10,"8,278",0,0,0,0,0,0,0,0,"1,705","18,676,769","1,448","2,025,316",247,"549,395",8,"18,885",7,"20,816",221,"1,569,495",321,"4,057,978",13,"92,236",52,"594,906","2,005","2,865,377",302,"148,020",841,"2,321,195",839,"964,889","3,245","37,655,809"
Non Taxable,NSW,2114,"3,797","3,647","40,845,946",830,"680,877",4,"6,350",0,0,0,0,0,0,0,0,"1,880","21,334,489","1,551","2,069,524",277,"771,786",22,"132,011",11,"29,433",313,"2,439,101",297,"3,746,420",11,"64,234",62,"711,651","2,232","2,777,233",272,"94,981",864,"1,566,951",860,"667,888","3,654","42,617,623"
Non Taxable,NSW,2115,"1,606","1,532","18,353,347",386,"332,109",3,"5,935",1,"2,480",0,0,0,0,0,0,820,"9,888,980",664,"997,821",135,"546,410",5,"28,750",7,"19,387",201,"1,621,961",149,"1,920,290",0,0,20,"359,728",892,"946,366",88,"53,085",305,"512,107",305,"217,107","1,533","19,012,888"
Non Taxable,NSW,2116,895,863,"9,804,144",209,"107,042",2,135,0,0,0,0,0,0,0,0,462,"5,152,103",357,"486,027",89,"279,609",4,"13,857",6,"7,458",127,"1,009,449",73,"967,523",1,"1,446",4,"18,731",462,"516,529",55,"8,460",178,"218,465",178,"93,503",869,"10,239,362"
Non Taxable,NSW,2117,"3,275","3,155","36,089,703",775,"513,187",5,"2,578",1,152,0,0,0,0,0,0,"1,548","17,979,170","1,203","1,627,096",266,"1,021,908",7,"13,755",5,"17,950",362,"2,663,404",327,"4,453,611",6,"38,116",23,"294,134","1,847","2,539,008",219,"89,305",748,"1,440,708",747,"615,459","3,173","37,753,476"
Non Taxable,NSW,2118,"4,663","4,429","48,663,350","1,014","898,894",5,"3,774",1,761,0,0,0,0,2,"9,978","1,947","21,938,496","1,482","1,940,060",347,"1,461,471",11,"40,893",10,"10,079",380,"2,691,895",436,"5,318,417",20,"153,784",54,"633,764","2,775","4,508,374",521,"201,956","1,390","3,403,330","1,390","1,447,838","4,450","51,226,944"
Non Taxable,NSW,2119,"2,024","1,947","22,705,450",488,"494,602",9,"11,127",2,"3,025",0,0,0,0,0,0,847,"9,790,643",654,"936,181",154,"678,428",6,"19,084",5,"8,513",93,"533,889",201,"2,054,836",8,"65,291",30,"355,727","1,355","2,861,681",321,"186,966",824,"2,723,788",822,"1,164,457","1,964","25,061,686"
Non Taxable,NSW,2120,"3,277","3,169","35,776,169",727,"1,072,198",11,"25,925",1,810,0,0,0,0,0,0,"1,460","16,031,739","1,187","1,614,963",266,"752,227",9,"49,560",7,"10,350",178,"1,168,586",338,"3,392,003",18,"131,313",55,"519,646","2,076","3,468,424",456,"182,640","1,202","2,872,579","1,202","1,222,454","3,189","37,468,554"
Non Taxable,NSW,2121,"5,701","5,396","57,430,649","1,188","944,956",12,"11,254",0,0,0,0,0,0,0,0,"2,501","28,696,229","1,959","3,009,352",412,"1,589,405",14,"60,863",15,"55,021",376,"2,547,579",425,"5,111,760",13,"108,303",73,"1,046,038","3,621","6,153,138",608,"278,425","1,605","4,056,601","1,602","1,729,000","5,430","62,094,587"
